2.182.136.0	2.182.143.255	Iran Information Technology Company PJSC
2.182.144.0	2.182.151.255	Iran Telecommunication Company Pjs
2.182.152.0	2.182.155.255	Iran Telecommunication Company Pjs
2.182.156.0	2.182.159.255	Iran Telecommunication Company Pjs
2.182.160.0	2.182.161.255	Iran Telecommunication Company Pjs
2.182.162.0	2.182.163.255	Iran Telecommunication Company Pjs
2.182.164.0	2.182.167.255	Iran Telecommunication Company Pjs
2.182.168.0	2.182.169.255	Iran Telecommunication Company Pjs
2.182.170.0	2.182.171.255	Iran Telecommunication Company Pjs
2.182.172.0	2.182.172.255	Iran Information Technology Company PJSC
2.182.173.0	2.182.173.255	Iran Telecommunication Company Pjs
2.182.174.0	2.182.174.255	Iran Information Technology Company PJSC
2.182.175.0	2.182.175.255	Iran Telecommunication Company Pjs
2.182.176.0	2.182.191.255	Iran Telecommunication Company Pjs
2.182.192.0	2.182.199.255	Iran Telecommunication Company Pjs
2.182.200.0	2.182.200.255	Iran Telecommunication Company Pjs
2.182.201.0	2.182.201.255	Iran Telecommunication Company Pjs
2.182.202.0	2.182.203.255	Iran Telecommunication Company Pjs
2.182.204.0	2.182.207.255	Iran Telecommunication Company Pjs
2.182.208.0	2.182.211.255	Iran Telecommunication Company Pjs
2.182.212.0	2.182.213.255	Iran Telecommunication Company Pjs
2.182.214.0	2.182.215.255	Iran Telecommunication Company Pjs
2.182.216.0	2.182.223.255	Iran Telecommunication Company Pjs
2.182.224.0	2.182.239.255	Iran Telecommunication Company Pjs
2.182.240.0	2.182.247.255	Iran Telecommunication Company Pjs
2.182.248.0	2.182.251.255	Iran Telecommunication Company Pjs
2.182.252.0	2.182.252.255	Iran Telecommunication Company Pjs
2.182.253.0	2.182.253.255	Iran Telecommunication Company Pjs
2.182.254.0	2.182.254.255	Iran Telecommunication Company Pjs
2.182.255.0	2.182.255.255	Iran Information Technology Company PJSC
2.183.0.0	2.183.15.255	Iran Telecommunication Company Pjs
2.183.16.0	2.183.31.255	Iran Telecommunication Company Pjs
2.183.32.0	2.183.47.255	Iran Telecommunication Company Pjs
2.183.48.0	2.183.55.255	Iran Telecommunication Company Pjs
2.183.56.0	2.183.59.255	Iran Telecommunication Company Pjs
2.183.60.0	2.183.63.255	Iran Telecommunication Company Pjs
2.183.64.0	2.183.79.255	Iran Telecommunication Company Pjs
2.183.80.0	2.183.95.255	Iran Telecommunication Company Pjs
2.183.96.0	2.183.111.255	Iran Telecommunication Company Pjs
